Eric Maags House,"1207 Park Road NW, Washington, DC",38.931777,-77.028761,home
District Taco,"1309 F St NW, Washington, DC ",38.89749,-77.03013,restaurant
El Chucho - Cocina Superior,"3313 11th Street NW Washington, DC",38.93107,-77.027935,bar
Taqueria Distrito Federal,"3463 14th Street NW Washington, DC",38.934073,-77.032493,restaurant
Haydees Restaurant,"3102 Mount Pleasant Street NW Washington, DC",38.929011,-77.037596,restaurant
Super Tacos & Bakery,"1762 Columbia Rd NW, Washington, DC",38.923532,-77.040866,delivery
Pica Tacos,"1629 Columbia Road NW, Washington, DC",38.925961,-77.037684,restaurant
